Model,CV_Mean,CV_Std
RandomForest (Tuned),0.8361057058565062,0.020132247241715934
XGBoost (Tuned),0.8338522377754065,0.027165613714867587
LightGBM,0.8417174063147324,0.029315888030869215
Stacking (RF+XGB+LGB),0.8350260498399347,0.018913454195626112
