Model,MSE,RMSE,MAE,R2
Linear Regression,0.5558915986952442,0.7455813830127763,0.5332001304956565,0.575787706032451
Ridge (alpha=1.0),0.5558548589435969,0.7455567442814778,0.5331931195789733,0.5758157428913686
