iter	RMSE
0	0.3836719673
1	0.3724341819
2	0.3612534339
3	0.3499885843
4	0.339098378
5	0.3292712294
6	0.3199513158
7	0.3104027481
8	0.3015874586
9	0.2934477828
10	0.2858091748
11	0.2779669693
12	0.2703079669
13	0.2632910078
14	0.2568625271
15	0.2504397615
16	0.244338769
17	0.2387397693
18	0.2331674076
19	0.2280077372
20	0.2231898693
21	0.2187556689
22	0.2148180748
23	0.2103458128
24	0.2062179189
25	0.2020956145
26	0.1984991948
27	0.195013952
28	0.1918034402
29	0.1887708933
30	0.1859570206
31	0.1833556496
32	0.1805173445
33	0.1776736373
34	0.1751755928
35	0.1726428168
36	0.1701838609
37	0.1679960335
38	0.1658304688
39	0.1639008056
40	0.1621742762
41	0.1604863314
42	0.1585680734
43	0.1566869544
44	0.1552369321
45	0.1535131819
46	0.151842754
47	0.150536525
48	0.1489571504
49	0.147361605
50	0.1461229335
51	0.1446093812
52	0.1433813218
53	0.1418962278
54	0.1406747338
55	0.1396305802
56	0.1382281861
57	0.1373428352
58	0.136120667
59	0.1348284262
60	0.133607064
61	0.1324407064
62	0.1315854849
63	0.1306284682
64	0.1296935749
65	0.1287357473
66	0.1278550824
67	0.1270000459
68	0.1262228436
69	0.1255243303
70	0.1247695268
71	0.1240793943
72	0.123384241
73	0.1227741164
74	0.1220846735
75	0.1214148384
76	0.1205968164
77	0.1198596609
78	0.119321091
79	0.1186837571
80	0.1180150386
81	0.1174814884
82	0.1168248875
83	0.1162088817
84	0.1156531993
85	0.1150717289
86	0.1146713269
87	0.1141586666
88	0.1136529204
89	0.1129952298
90	0.1126329377
91	0.1121610158
92	0.1117563045
93	0.1113369034
94	0.1108748236
95	0.1105667423
96	0.1102179716
97	0.1098894025
98	0.1094264499
99	0.1089808087
100	0.1085366721
101	0.108295375
102	0.1078606908
103	0.1074468202
104	0.1071188481
105	0.1068001953
106	0.1063576528
107	0.1058915722
108	0.1054408998
109	0.1052447339
110	0.1049350969
111	0.1046854065
112	0.1043962582
113	0.1041489162
114	0.1038618302
115	0.1035606718
116	0.1031225121
117	0.1027891282
118	0.1025059017
119	0.102274222
120	0.1016669856
121	0.1012949592
122	0.1010057
123	0.1005434553
124	0.1002473298
125	0.09985852078
126	0.0995684182
127	0.09927591968
128	0.09898656387
129	0.09876123752
130	0.09845656716
131	0.09823179265
132	0.09807622508
133	0.09772363688
134	0.09725886662
135	0.09704707928
136	0.09690028019
137	0.09655367261
138	0.09622116034
139	0.09599597342
140	0.09562211331
141	0.09531325209
142	0.09497103984
143	0.0947373836
144	0.09434711663
145	0.09412533067
146	0.09387496223
147	0.09377610602
148	0.09337816137
149	0.0930342415
150	0.09291549052
151	0.09266594395
152	0.09244280692
153	0.09219638924
154	0.0920668177
155	0.09177189219
156	0.09162223779
157	0.09134870919
158	0.09109246779
159	0.09076766845
160	0.09063388469
161	0.09037971622
162	0.09027881677
163	0.09001165831
164	0.08965765991
165	0.0895322871
166	0.08921008685
167	0.08911786199
168	0.08902906767
169	0.08871633663
170	0.08862361961
171	0.08856414314
172	0.08814528966
173	0.08793086283
174	0.08783516304
175	0.08737291329
